name,href,location,active_years,description
Ejaaz tawakkal,https://www.rekhta.org/poets/ejaaz-tawakkal,Bahawalpur,1962,
Ejaz Ahmad Ejaz,https://www.rekhta.org/poets/ejaz-ahmad-ejaz,London,1942,
Ejaz Ajmeri,https://www.rekhta.org/authors/ejaz-ajmeri,,,
Ejaz Akhtar,https://www.rekhta.org/poets/ejaz-akhtar,,,
Ejaz Ali Arshad,https://www.rekhta.org/authors/ejaz-ali-arshad,Patna,1954,
Ejaz Ansari,https://www.rekhta.org/poets/ejaz-ansari,Delhi,1955,
Ejaz Asif,https://www.rekhta.org/poets/ejaz-asif,,,
Ejaz Azmi,https://www.rekhta.org/poets/ejaz-azmi,Azamgarh,,
Ejaz Batalwi,https://www.rekhta.org/poets/ejaz-batalwi,,,
Ejaz Farooqi,https://www.rekhta.org/poets/ejaz-farooqi,Lahore,1935,
Ejaz Gilani,https://www.rekhta.org/poets/ejaz-gilani,,,
Ejaz Gul,https://www.rekhta.org/poets/ejaz-gul,Islamabad,,
Ejaz Haidar,https://www.rekhta.org/poets/ejaz-haidar,Rawalpindi,1963,
Ejaz Kamravi,https://www.rekhta.org/poets/ejaz-kamravi,,,
Ejaz Manpuri,https://www.rekhta.org/poets/ejaz-manpuri,Gaya,1963,
Ejaz Obaid,https://www.rekhta.org/poets/ejaz-obaid,,,
Ejaz Parwana,https://www.rekhta.org/poets/ejaz-parwana,,1972,
Ejaz Quraishi,https://www.rekhta.org/poets/ejaz-quraishi,Lahore,1964,
Ejaz Rahi,https://www.rekhta.org/authors/ejaz-rahi,Islamabad,1942 -2006,
Ejaz Rahmani,https://www.rekhta.org/poets/ejaz-rahmani,Karachi,1936 -2019,
Ejaz Rizvi,https://www.rekhta.org/poets/ejaz-rizvi,,,
Ejaz Shakir,https://www.rekhta.org/poets/ejaz-shakir,,,
Ejaz Siddiqi,https://www.rekhta.org/poets/ejaz-siddiqi,Mumbai,1913 -1978,Prominent Urdu poet who edited the literary Journal 'Shaair'. Son of Seemab Akbarabadi
Faez Dehlvi,https://www.rekhta.org/poets/faez-dehlvi,Delhi,1690 -1738,"One of the most prominent Urdu poets of pre-Mir era, who laid the foundation of Urdu poetry"
Faheem Aazmi,https://www.rekhta.org/authors/faheem-aazmi,Karachi,,
Faheem Akhtar Kamboh,https://www.rekhta.org/authors/faheem-akhtar-kamboh,Lahore,1984,
Faheem Amrohvi,https://www.rekhta.org/authors/faheem-amrohvi,Amroha,,
Faheem Gorakhpuri,https://www.rekhta.org/poets/faheem-gorakhpuri,Gorakhpur,1878,
Faheem Hairat Raheemi,https://www.rekhta.org/poets/faheem-hairat-raheemi,,,
Faheem Jogapuri,https://www.rekhta.org/poets/faheem-jogapuri,Siwan,,
Faheem Jozi,https://www.rekhta.org/poets/faheem-jozi,,,
Faheem Shanas Kazmi,https://www.rekhta.org/poets/faheem-shanas-kazmi,Karachi,1965,
Faheemuddin Ahmad Faheem,https://www.rekhta.org/authors/faheemuddin-ahmad-faheem,Patna,1877 -1922,
Fahmi Badayuni,https://www.rekhta.org/poets/fahmi-badayuni,Badayun,1952,
Fahmida Mosarrat Ahmad,https://www.rekhta.org/poets/fahmida-mosarrat-ahmad,Jhang,1968,
Fahmida Riaz,https://www.rekhta.org/poets/fahmida-riaz,Karachi,1946 -2018,"Woman poet from Pakistan, known for strong feminist and anti-establishment leanings."
